Name,Request Count,Failure Count,Average Response Time,Requests/s,Failures/s,Ramp_Speed,Users,Observation_Time,Failure_Rate
/,53,0,18104.611786359143,0.9195862789628754,0.0,2.0,50,60,0.0
/cart,18,0,4134.998910500144,0.312312321157203,0.0,2.0,50,60,0.0
/cart,8,0,6626.740319252349,0.1388054760698679,0.0,2.0,50,60,0.0
/cart/checkout,2,0,8305.682202502794,0.0347013690174669,0.0,2.0,50,60,0.0
/product/0PUK6V6EV0,3,0,4918.486813665368,0.0520520535262004,0.0,2.0,50,60,0.0
/product/1YMWWN1N4O,11,0,5481.999684459879,0.1908575295960684,0.0,2.0,50,60,0.0
/product/2ZYFJ3GM2N,9,0,5004.50968466531,0.1561561605786015,0.0,2.0,50,60,0.0
/product/66VCHSJNUP,14,0,5797.834519001689,0.2429095831222689,0.0,2.0,50,60,0.0
/product/6E92ZMYYFZ,7,0,5703.408198574574,0.1214547915611344,0.0,2.0,50,60,0.0
/product/9SIQT8TOJO,4,0,6851.025081501575,0.0694027380349339,0.0,2.0,50,60,0.0
/product/L9ECAV7KIM,7,0,5069.681554712588,0.1214547915611344,0.0,2.0,50,60,0.0
/product/LS4PSXUNUM,9,0,6958.067602224118,0.1561561605786015,0.0,2.0,50,60,0.0
/product/OLJCESPC7Z,11,0,4782.082975180608,0.1908575295960684,0.0,2.0,50,60,0.0
/setCurrency,8,0,20084.717945999728,0.1388054760698679,0.0,2.0,50,60,0.0
Aggregated,164,0,10265.770809372849,2.8455122594322937,0.0,2.0,50,60,0.0
/,98,98,3535.653467897572,0.8460545340737334,0.8460545340737334,2.0,50,120,100.0
/cart,130,130,889.3296837843641,1.1223172390774017,1.1223172390774017,2.0,50,120,100.0
/cart,111,111,639.3499918732224,0.9582862579814736,0.9582862579814736,2.0,50,120,100.0
/cart/checkout,29,29,422.5579168966666,0.2503630764095741,0.2503630764095741,2.0,50,120,100.0
/product/0PUK6V6EV0,59,59,875.6847103731608,0.509359362350513,0.509359362350513,2.0,50,120,100.0
/product/1YMWWN1N4O,51,51,597.1101806678823,0.440293686099596,0.440293686099596,2.0,50,120,100.0
/product/2ZYFJ3GM2N,55,55,748.612257308824,0.4748265242250545,0.4748265242250545,2.0,50,120,100.0
/product/66VCHSJNUP,56,56,1784.8708648562024,0.4834597337564191,0.4834597337564191,2.0,50,120,100.0
/product/6E92ZMYYFZ,47,47,510.4914658527668,0.4057608479741375,0.4057608479741375,2.0,50,120,100.0
/product/9SIQT8TOJO,60,60,912.4108235504536,0.5179925718818776,0.5179925718818776,2.0,50,120,100.0
/product/L9ECAV7KIM,54,54,501.8961784818977,0.4661933146936898,0.4661933146936898,2.0,50,120,100.0
/product/LS4PSXUNUM,53,53,490.0537443395049,0.4575601051623252,0.4575601051623252,2.0,50,120,100.0
/product/OLJCESPC7Z,50,50,1369.7835586205474,0.4316604765682313,0.4316604765682313,2.0,50,120,100.0
/setCurrency,93,93,706.0251418496132,0.8028884864169104,0.8028884864169104,2.0,50,120,100.0
Aggregated,946,946,1093.5897396015184,8.167016216670937,8.167016216670937,2.0,50,120,100.0
/,82,29,28712.975999464463,0.4731650684369533,0.1673388656667273,2.0,50,180,35.36585365853659
/cart,107,77,3382.906920121679,0.6174227112530976,0.4443135398737244,2.0,50,180,71.96261682242991
/cart,103,81,2344.4894418832155,0.5943414884025144,0.4673947627243074,2.0,50,180,78.64077669902912
/cart/checkout,38,29,2198.2697968931843,0.2192716170805393,0.1673388656667273,2.0,50,180,76.31578947368422
/product/0PUK6V6EV0,37,25,4300.416169378583,0.2135013113678935,0.1442576428161442,2.0,50,180,67.56756756756756
/product/1YMWWN1N4O,47,29,5192.315627999747,0.2712043684943512,0.1673388656667273,2.0,50,180,61.70212765957447
/product/2ZYFJ3GM2N,55,42,3152.084269836037,0.3173668141955174,0.2423528399311224,2.0,50,180,76.36363636363637
/product/66VCHSJNUP,46,36,1922.5125910227728,0.2654340627817055,0.2077310056552477,2.0,50,180,78.26086956521739
/product/6E92ZMYYFZ,58,40,3202.691191533412,0.3346777313334547,0.2308122285058308,2.0,50,180,68.96551724137932
/product/9SIQT8TOJO,43,30,3945.018293860241,0.2481231456437681,0.1731091713793731,2.0,50,180,69.76744186046511
/product/L9ECAV7KIM,46,36,1610.2496700860563,0.2654340627817055,0.2077310056552477,2.0,50,180,78.26086956521739
/product/LS4PSXUNUM,40,31,3091.775457899712,0.2308122285058308,0.1788794770920189,2.0,50,180,77.5
/product/OLJCESPC7Z,54,41,2702.483320259759,0.3115965084828717,0.2365825342184766,2.0,50,180,75.92592592592592
/setCurrency,78,63,6319.949258730235,0.4500838455863701,0.3635292598966836,2.0,50,180,80.76923076923077
Aggregated,834,589,5873.418110762473,4.812434964346574,3.3987100647483595,2.0,50,180,70.62350119904077
/,90,61,17302.83834777753,0.390560224646424,0.2647130411492429,2.0,50,240,67.77777777777779
/cart,148,111,2957.8175002292533,0.6422545916407861,0.4816909437305895,2.0,50,240,75.0
/cart,145,108,3970.748231366401,0.6292359174859052,0.4686722695757088,2.0,50,240,74.48275862068967
/cart/checkout,37,24,2965.541654027687,0.1605636479101965,0.1041493932390463,2.0,50,240,64.86486486486487
/product/0PUK6V6EV0,67,48,3490.7618844475505,0.2907503894590045,0.2082987864780927,2.0,50,240,71.64179104477611
